Date,Book,Away Moneyline,Home Moneyline,Away Pointspread points,Away Pointspread odds,Home Pointspread points,Home Pointspread odds,Total points,Over odds,Under odds,Implied Probability,Juice,Time to close,Moneyline,Spread,Total
Mon Oct 01 2018 00:43:34 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,,,,,,,1,0,1
Mon Oct 01 2018 01:43:34 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,,,,,,,,,
Mon Oct 01 2018 02:43:34 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,,,,,,,,,
Mon Oct 01 2018 03:43:34 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,,,,,,,,,
Mon Oct 01 2018 04:43:34 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,,,,,,,,,
Mon Oct 01 2018 05:43:34 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,,,,,,,,,
Mon Oct 01 2018 06:43:33 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,,,,,,,,,
Mon Oct 01 2018 07:43:35 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,,,,,,,,,
Mon Oct 01 2018 08:43:34 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,,,,,,,,,
Mon Oct 01 2018 09:43:34 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,,,,,,,,,
Mon Oct 01 2018 10:43:34 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,,,,,,,,,
Mon Oct 01 2018 11:43:34 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,,,,,,,,,
Mon Oct 01 2018 12:43:33 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,44.5,-110,-110,,,,,,
Mon Oct 01 2018 13:43:34 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,44.5,-110,-110,,,,,,
Mon Oct 01 2018 14:43:34 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,45,-105,-115,,,,,,
Mon Oct 01 2018 15:43:35 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,45,-105,-115,,,,,,
Mon Oct 01 2018 16:43:33 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,45,-105,-115,,,,,,
Mon Oct 01 2018 17:43:34 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,45,-105,-115,,,,,,
Mon Oct 01 2018 18:43:34 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,45,-105,-115,,,,,,
Mon Oct 01 2018 19:43:34 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,45,-105,-115,,,,,,
Mon Oct 01 2018 20:43:35 GMT+0000 (UTC),CharlieBook,,,3,-105,-3,-115,45,-105,-115,,,,,,
Mon Oct 01 2018 21:43:35 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Mon Oct 01 2018 22:43:33 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Mon Oct 01 2018 23:43:34 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 00:43:34 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 01:43:34 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 02:43:34 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 03:43:35 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 04:43:34 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 05:43:34 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 06:43:34 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
Tue Oct 02 2018 07:43:34 GMT+0000 (UTC),CharlieBook,145,-165,3,-105,-3,-115,45,-105,-115,,,,,,
